       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	           1	           1	      0.0025	         0.5	         0.5	          12	       4.201	       7.458	           0	           0	           0	           0	           0	           0	      0.1452	   4.345e-10	     0.00434	   7.981e-09	    0.002317	  -1.411e-08	       4.201	    0.000119	   0.0005061	     0.01088	   0.0009691	     0.00139	    0.000793	     0.03048	   2.188e-05	   9.831e-06	    0.004454	    0.001887	     0.05008	        0.35	    0.003808	    0.003808	
           1	           2	           1	      0.0075	         0.5	         0.5	          12	       4.202	       7.456	           0	           0	           0	           0	           0	           0	      0.1427	   2.084e-12	    0.005893	  -5.701e-09	   0.0008124	   8.275e-09	       4.202	   0.0001191	   0.0005185	     0.01096	   0.0009694	    0.001391	   0.0007933	      0.0305	   2.186e-05	   9.834e-06	    0.004448	    0.001887	     0.05018	      0.3499	    0.003835	    0.003835	
           1	           3	           1	      0.0125	         0.5	         0.5	          12	       4.203	       7.454	           0	           0	           0	           0	           0	           0	      0.1425	   2.183e-11	    0.005951	   1.603e-09	   0.0006864	  -1.332e-09	       4.203	   0.0001191	   0.0005397	     0.01111	   0.0009694	    0.001391	   0.0007933	     0.03052	   2.181e-05	   9.835e-06	    0.004434	    0.001887	     0.05033	      0.3499	    0.003888	    0.003888	
           1	           4	           1	      0.0175	         0.5	         0.5	          12	       4.204	        7.45	           0	           0	           0	           0	           0	           0	      0.1425	  -1.993e-11	    0.005918	  -3.136e-09	   0.0006748	   5.614e-09	       4.204	   0.0001191	   0.0005764	     0.01139	   0.0009694	    0.001391	   0.0007933	     0.03056	   2.172e-05	   9.835e-06	    0.004409	    0.001887	      0.0506	      0.3499	    0.003984	    0.003984	
           1	           5	           1	      0.0225	         0.5	         0.5	          12	       4.207	       7.443	           0	           0	           0	           0	           0	           0	      0.1425	  -2.712e-11	    0.005897	   7.565e-09	   0.0006742	  -1.154e-08	       4.207	   0.0001191	   0.0006394	     0.01179	   0.0009694	    0.001391	   0.0007933	     0.03062	   2.158e-05	   9.836e-06	    0.004367	    0.001886	       0.051	      0.3499	    0.004125	    0.004125	
           1	           6	           1	      0.0275	         0.5	         0.5	          12	        4.21	       7.433	           0	           0	           0	           0	    0.004433	  -1.218e-09	      0.1425	   7.638e-11	     0.00586	   5.455e-09	   0.0006738	  -7.703e-09	        4.21	   0.0001192	    0.000747	     0.01219	   0.0009699	    0.001391	   0.0007936	     0.03074	   2.136e-05	   9.841e-06	    0.004298	    0.001886	     0.05142	      0.3497	    0.008695	    0.004262	
           1	           7	           1	      0.0325	         0.5	         0.5	          12	       4.214	       7.418	           0	           0	           0	           0	     0.00496	    8.65e-11	      0.1425	  -5.665e-12	    0.005856	  -2.197e-09	   0.0006731	    3.63e-09	       4.214	   0.0001192	   0.0009282	     0.01218	     0.00097	    0.001391	   0.0007937	     0.03092	   2.105e-05	   9.843e-06	    0.004179	    0.001886	     0.05141	      0.3497	    0.009219	    0.004259	
           1	           8	           1	      0.0375	         0.5	         0.5	          12	       4.222	       7.391	           0	           0	           0	           0	    0.005071	    3.37e-10	      0.1425	   3.294e-11	    0.005828	    3.02e-09	   0.0006729	  -5.754e-09	       4.222	   0.0001193	    0.001231	     0.01217	   0.0009701	    0.001391	   0.0007936	     0.03122	   2.052e-05	   9.845e-06	    0.003978	    0.001885	     0.05139	      0.3497	    0.009326	    0.004255	
           1	           9	           1	      0.0425	         0.5	         0.5	          12	       4.235	       7.345	           0	           0	           0	           0	    0.005145	  -1.158e-10	      0.1425	  -4.601e-12	    0.005823	  -9.243e-09	   0.0006732	   1.443e-08	       4.235	   0.0001193	    0.001738	     0.01215	   0.0009701	    0.001391	   0.0007936	     0.03172	   1.961e-05	   9.848e-06	    0.003643	    0.001885	     0.05137	      0.3497	    0.009393	    0.004248	
           1	          10	           1	      0.0475	         0.5	         0.5	          12	       4.261	       7.257	           0	           0	           0	           0	    0.005202	   1.053e-09	      0.1425	   6.727e-11	      0.0058	   1.457e-08	   0.0006736	  -2.369e-08	       4.261	   0.0001194	    0.002597	     0.01212	   0.0009702	    0.001391	   0.0007935	     0.03257	     1.8e-05	   9.852e-06	    0.003075	    0.001885	     0.05132	      0.3497	    0.009439	    0.004237	
