       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	           1	           1	      0.0025	         0.5	         0.5	          24	       4.201	       7.459	           0	           0	           0	           0	           0	           0	      0.1479	   4.988e-10	    0.002036	    9.81e-09	    0.003967	  -1.736e-08	       4.201	    0.000119	   0.0004919	      0.0108	   0.0009687	     0.00139	   0.0007928	     0.03045	   2.191e-05	   9.827e-06	    0.004462	    0.001887	     0.04999	      0.3501	    0.003782	    0.003782	
           1	           2	           1	      0.0075	         0.5	         0.5	          24	       4.201	       7.459	           0	           0	           0	           0	           0	           0	      0.1429	   3.789e-11	    0.005699	   4.489e-09	   0.0009509	  -7.976e-09	       4.201	    0.000119	   0.0004922	     0.01081	   0.0009693	     0.00139	   0.0007933	     0.03047	   2.192e-05	   9.833e-06	    0.004465	    0.001887	     0.05003	      0.3499	    0.003783	    0.003783	
           1	           3	           1	      0.0125	         0.5	         0.5	          24	       4.201	       7.459	           0	           0	           0	           0	           0	           0	      0.1425	   1.385e-11	    0.005935	  -1.649e-09	   0.0006978	   1.207e-09	       4.201	    0.000119	   0.0004923	     0.01082	   0.0009694	    0.001391	   0.0007933	     0.03047	   2.192e-05	   9.834e-06	    0.004465	    0.001887	     0.05004	      0.3499	    0.003787	    0.003787	
           1	           4	           1	      0.0175	         0.5	         0.5	          24	       4.201	       7.459	           0	           0	           0	           0	           0	           0	      0.1425	   5.168e-11	    0.005917	   -2.11e-09	   0.0006751	   1.466e-09	       4.201	    0.000119	   0.0004924	     0.01084	   0.0009694	    0.001391	   0.0007933	     0.03047	   2.191e-05	   9.834e-06	    0.004465	    0.001887	     0.05006	      0.3499	    0.003792	    0.003792	
           1	           5	           1	      0.0225	         0.5	         0.5	          24	       4.201	       7.459	           0	           0	           0	           0	           0	           0	      0.1425	   2.804e-11	    0.005897	   3.415e-09	   0.0006738	  -3.854e-09	       4.201	    0.000119	   0.0004925	     0.01087	   0.0009694	    0.001391	   0.0007933	     0.03047	   2.191e-05	   9.834e-06	    0.004465	    0.001887	     0.05009	      0.3499	    0.003803	    0.003803	
           1	           6	           1	      0.0275	         0.5	         0.5	          24	       4.201	       7.459	           0	           0	           0	           0	           0	           0	      0.1425	   3.091e-11	    0.005861	   6.084e-09	   0.0006739	  -9.786e-09	       4.201	    0.000119	   0.0004927	     0.01092	   0.0009694	    0.001391	   0.0007933	     0.03047	   2.191e-05	   9.834e-06	    0.004465	    0.001887	     0.05014	      0.3499	    0.003822	    0.003822	
           1	           7	           1	      0.0325	         0.5	         0.5	          24	       4.201	       7.458	           0	           0	           0	           0	           0	           0	      0.1425	   4.377e-11	    0.005857	  -6.618e-09	   0.0006727	    1.07e-08	       4.201	    0.000119	   0.0004931	     0.01102	   0.0009694	    0.001391	   0.0007933	     0.03047	    2.19e-05	   9.834e-06	    0.004465	    0.001887	     0.05023	      0.3499	    0.003855	    0.003855	
           1	           8	           1	      0.0375	         0.5	         0.5	          24	       4.202	       7.458	           0	           0	           0	           0	           0	           0	      0.1425	   4.576e-11	    0.005829	   1.575e-08	   0.0006733	   -2.33e-08	       4.202	    0.000119	   0.0004938	     0.01119	   0.0009694	    0.001391	   0.0007933	     0.03048	   2.188e-05	   9.834e-06	    0.004464	    0.001887	      0.0504	      0.3499	    0.003914	    0.003914	
           1	           9	           1	      0.0425	         0.5	         0.5	          24	       4.203	       7.456	           0	           0	           0	           0	           0	           0	      0.1425	  -1.339e-11	    0.005825	   1.438e-09	   0.0006729	  -1.604e-09	       4.203	    0.000119	   0.0004949	     0.01149	   0.0009694	    0.001391	   0.0007933	     0.03048	   2.185e-05	   9.834e-06	    0.004464	    0.001886	     0.05071	      0.3499	    0.004021	    0.004021	
           1	          10	           1	      0.0475	         0.5	         0.5	          24	       4.204	       7.454	           0	           0	           0	           0	    0.003799	  -3.118e-09	      0.1425	   6.266e-11	     0.00581	   3.396e-09	   0.0006732	  -5.489e-09	       4.204	   0.0001191	    0.000497	      0.0122	   0.0009698	    0.001391	   0.0007936	     0.03049	   2.179e-05	   9.838e-06	    0.004464	    0.001886	     0.05143	      0.3497	    0.008065	    0.004266	
           1	          11	           1	      0.0525	         0.5	         0.5	          24	       4.204	       7.453	           0	           0	           0	           0	    0.005135	   4.181e-10	      0.1425	   9.081e-11	    0.005799	  -2.357e-09	   0.0006737	   2.267e-09	       4.204	   0.0001191	   0.0005003	      0.0122	   0.0009699	    0.001391	   0.0007937	      0.0305	   2.179e-05	   9.839e-06	    0.004462	    0.001886	     0.05143	      0.3497	      0.0094	    0.004265	
           1	          12	           1	      0.0575	         0.5	         0.5	          24	       4.204	       7.453	           0	           0	           0	           0	    0.005291	   1.926e-10	      0.1425	  -6.822e-12	    0.005799	  -8.958e-10	   0.0006731	   4.507e-10	       4.204	   0.0001191	   0.0005059	      0.0122	   0.0009699	    0.001391	   0.0007938	      0.0305	   2.178e-05	   9.839e-06	    0.004459	    0.001886	     0.05143	      0.3497	    0.009556	    0.004265	
           1	          13	           1	      0.0625	         0.5	         0.5	          24	       4.205	       7.452	           0	           0	           0	           0	    0.005327	   4.074e-10	      0.1425	  -5.686e-12	    0.005783	   9.771e-10	   0.0006716	  -3.442e-09	       4.205	   0.0001191	   0.0005153	      0.0122	   0.0009699	    0.001391	   0.0007938	     0.03051	   2.176e-05	    9.84e-06	    0.004452	    0.001886	     0.05143	      0.3497	    0.009592	    0.004265	
           1	          14	           1	      0.0675	         0.5	         0.5	          24	       4.205	       7.451	           0	           0	           0	           0	    0.005372	   8.285e-10	      0.1425	   4.684e-11	    0.005791	   2.113e-09	   0.0006716	   -4.97e-09	       4.205	   0.0001191	   0.0005312	      0.0122	   0.0009699	    0.001391	   0.0007938	     0.03053	   2.173e-05	    9.84e-06	    0.004442	    0.001886	     0.05143	      0.3497	    0.009636	    0.004265	
           1	          15	           1	      0.0725	         0.5	         0.5	          24	       4.206	       7.448	           0	           0	           0	           0	    0.005397	   1.185e-09	      0.1425	   2.939e-11	    0.005777	    6.24e-09	   0.0006726	  -9.853e-09	       4.206	   0.0001191	   0.0005583	      0.0122	   0.0009699	    0.001391	   0.0007938	     0.03056	   2.169e-05	    9.84e-06	    0.004424	    0.001886	     0.05143	      0.3497	    0.009661	    0.004264	
